idPerpus,Perpustakaan,Alamat,Lon,Lat
173,Perpustakaan Kota Bandung,"Jl. Seram No.2, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",107.6137978229117,-6.908202787856465
213,Perpustakaan ITB,"Kawasan ITB Kampus Ganesa, Jl. Ganesa No.10, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",107.6107340527733,-6.888200572853506
913,Perpustakaan UPI," Jl. Dr. Setiabudi No.229, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154",107.59142271780094,-6.860911863002797
